"id","sbid","o_year","o_script","o_oil_price","o_inflation","o_exchange_rate","o_population","o_population_atyrau","o_population_zhylyoi","o_population_inder","o_population_isatai","o_population_kurmangazy","o_population_kzylkoga","o_population_makat","o_population_makhambet","o_oil","o_oil_atyrau","o_oil_zhylyoi","o_oil_inder","o_oil_isatai","o_oil_kurmangazy","o_oil_kzylkoga","o_oil_makat","o_oil_makhambet","o_grain","o_grain_atyrau","o_grain_zhylyoi","o_grain_inder","o_grain_isatai","o_grain_kurmangazy","o_grain_kzylkoga","o_grain_makat","o_grain_makhambet","o_potato","o_potato_atyrau","o_potato_zhylyoi","o_potato_inder","o_potato_isatai","o_potato_kurmangazy","o_potato_kzylkoga","o_potato_makat","o_potato_makhambet","o_vegetables","o_vegetables_atyrau","o_vegetables_zhylyoi","o_vegetables_inder","o_vegetables_isatai","o_vegetables_kurmangazy","o_vegetables_kzylkoga","o_vegetables_makat","o_vegetables_makhambet","o_cattle","o_cattle_atyrau","o_cattle_zhylyoi","o_cattle_inder","o_cattle_isatai","o_cattle_kurmangazy","o_cattle_kzylkoga","o_cattle_makat","o_cattle_makhambet","o_goats","o_goats_atyrau","o_goats_zhylyoi","o_goats_inder","o_goats_isatai","o_goats_kurmangazy","o_goats_kzylkoga","o_goats_makat","o_goats_makhambet","o_horses","o_horses_atyrau","o_horses_zhylyoi","o_horses_inder","o_horses_isatai","o_horses_kurmangazy","o_horses_kzylkoga","o_horses_makat","o_horses_makhambet","o_poultry","o_poultry_atyrau","o_poultry_zhylyoi","o_poultry_inder","o_poultry_isatai","o_poultry_kurmangazy","o_poultry_kzylkoga","o_poultry_makat","o_poultry_makhambet","o_weight_cattle","o_weight_goats","o_weight_horses","o_weight_poultry","o_housing","o_housing_atyrau","o_housing_zhylyoi","o_housing_inder","o_housing_isatai","o_housing_kurmangazy","o_housing_kzylkoga","o_housing_makat","o_housing_makhambet","o_building_invest"
69,"59274","2019","базовый",63.5,6,383.5,633400,338800,82900,32100,26700,57300,30500,30300,34800,48998.33,13500,33008.65,0,1108.64,46.38,739,542.55,53.11,0.01,0,0,0,0,0,0.01,0,0,27.53,6.14,0.01,7.38,0,5.92,0.13,0.03,7.92,83.95,41.54,1.02,12.87,0.08,3.69,0.14,0.1,24.51,173.76,5.81,17.87,18.9,20.17,63.47,30.32,1.49,15.73,575.39,5.37,70.6,96.39,37.62,190.7,133.03,3.11,38.57,83.64,1.24,9.04,7.74,19.12,24.79,14.4,1.39,5.92,503.12,4.21,126.49,7.42,1.69,3.44,8.73,1.12,350.02,278,39,300,3.2,815.36,587.41,77.54,32.42,22.8,11.18,11.55,27.51,44.95,830.96
70,"59275","2020","базовый",65,6,390,646532.17,348898.81,84558.4,32277.91,26999.54,57401.79,30484.29,30601.75,35309.68,51204.89,15537,33236.91,0,1042.62,47.83,748.27,537.49,54.77,0.01,0,0,0,0,0,0.01,0,0,29.09,6.45,0.01,7.89,0,6.3,0.12,0.03,8.29,90.17,45.05,1.03,13.78,0.07,3.73,0.14,0.1,26.27,179.7,5.93,18.79,19.41,21.19,66.6,30.54,1.39,15.85,591.23,5.55,71.61,99.04,37.44,198.4,137.61,2.93,38.65,88.3,1.27,9.62,7.98,20.3,26.14,15.37,1.48,6.14,570.99,4.54,165.12,7.76,1.68,3.39,8.77,1.14,378.59,278,39,300,3.2,835.79,604.92,79.09,32.6,23.05,11.2,11.54,27.78,45.61,930.67
71,"59276","2021","базовый",65,6,390,660013.53,359298.64,86249.98,32456.81,27302.44,57503.75,30468.59,30906.5,35826.82,52139.68,15500,34252.57,0,1034.22,47.77,727.91,522.51,54.7,0.01,0,0,0,0,0,0.01,0,0,30.76,6.78,0.01,8.43,0,6.71,0.11,0.03,8.69,96.84,48.86,1.03,14.76,0.06,3.76,0.14,0.09,28.14,185.91,6.05,19.76,19.93,22.26,69.87,30.77,1.29,15.98,607.63,5.73,72.63,101.77,37.26,206.41,142.35,2.76,38.72,93.27,1.31,10.23,8.23,21.56,27.58,16.4,1.58,6.38,652.99,4.89,215.54,8.11,1.67,3.33,8.8,1.16,409.49,278,39,300,3.2,856.8,622.95,80.67,32.78,23.31,11.22,11.53,28.06,46.28,997.68
72,"59277","2022","базовый",65,5,390,673853.9,370008.46,87975.39,32636.69,27608.74,57605.9,30452.9,31214.29,36351.53,53120.57,15600,35213.79,0,960.64,48.71,732.84,508.81,55.78,0.01,0,0,0,0,0,0.01,0,0,32.51,7.12,0.01,9,0,7.14,0.11,0.03,9.1,104.04,52.98,1.03,15.8,0.05,3.8,0.13,0.09,30.16,192.41,6.17,20.77,20.47,23.39,73.31,30.99,1.2,16.11,624.65,5.92,73.67,104.58,37.08,214.74,147.26,2.6,38.8,98.51,1.35,10.88,8.49,22.89,29.09,17.5,1.69,6.62,753,5.28,281.36,8.48,1.66,3.28,8.84,1.18,442.92,278,39,300,3.2,878.4,641.52,82.28,32.96,23.57,11.24,11.53,28.34,46.96,1057.54
73,"59278","2023","базовый",65,5,390,688063.43,381037.52,89735.32,32817.58,27918.48,57708.23,30437.22,31525.15,36883.93,58922.52,15600,40985.9,0,956.08,56.7,767.59,491.33,64.92,0.01,0,0,0,0,0,0.01,0,0,34.37,7.48,0.01,9.62,0,7.61,0.1,0.03,9.52,111.82,57.46,1.03,16.92,0.05,3.83,0.13,0.09,32.31,199.21,6.29,21.84,21.02,24.57,76.91,31.22,1.12,16.24,642.27,6.12,74.72,107.46,36.91,223.41,152.33,2.45,38.87,104.05,1.39,11.57,8.75,24.31,30.68,18.67,1.8,6.88,875.84,5.69,367.28,8.86,1.65,3.22,8.87,1.2,479.07,278,39,300,3.2,900.6,660.65,83.93,33.14,23.84,11.26,11.52,28.62,47.64,1121
74,"59279","2024","базовый",65,5,390,702652.45,392395.32,91530.46,32999.47,28231.69,57810.74,30421.54,31839.1,37424.13,61229.94,15300,43633.32,0,948.53,57,761.5,464.33,65.26,0.01,0,0,0,0,0,0.01,0,0,36.35,7.86,0.01,10.28,0,8.1,0.1,0.03,9.97,120.2,62.31,1.03,18.12,0.04,3.87,0.13,0.08,34.62,206.31,6.41,22.96,21.58,25.81,80.69,31.45,1.04,16.37,660.51,6.32,75.79,110.42,36.73,232.43,157.58,2.3,38.94,109.95,1.44,12.31,9.03,25.82,32.36,19.92,1.93,7.14,1027.96,6.14,479.44,9.26,1.64,3.17,8.91,1.22,518.18,278,39,300,3.2,923.44,680.34,85.61,33.33,24.11,11.28,11.52,28.91,48.34,1188.26
75,"59280","2025","базовый",65,5,390,717631.69,404091.68,93361.51,33182.36,28548.42,57913.43,30405.87,32156.18,37972.24,62200.83,15300,44544.33,0,974.2,57.93,786.28,471.76,66.33,0,0,0,0,0,0,0,0,0,38.44,8.26,0.01,10.98,0,8.62,0.09,0.04,10.44,129.26,67.57,1.03,19.41,0.04,3.9,0.13,0.08,37.1,213.78,6.54,24.14,22.17,27.12,84.66,31.68,0.97,16.5,679.43,6.53,76.87,113.46,36.55,241.82,163.01,2.17,39.02,116.16,1.48,13.09,9.31,27.42,34.13,21.26,2.06,7.41,1217.57,6.62,625.85,9.68,1.63,3.12,8.95,1.25,560.47,278,39,300,3.2,946.89,700.62,87.32,33.51,24.38,11.3,11.51,29.2,49.05,1259.55
76,"59281","2019","оптимистичный",63.5,6,383.5,633400,338800,82900,32100,26700,57300,30500,30300,34800,48998.33,13500,33008.65,0,1108.64,46.38,739,542.55,53.11,0.01,0,0,0,0,0,0.01,0,0,27.53,6.14,0.01,7.38,0,5.92,0.13,0.03,7.92,83.95,41.54,1.02,12.87,0.08,3.69,0.14,0.1,24.51,173.76,5.81,17.87,18.9,20.17,63.47,30.32,1.49,15.73,575.39,5.37,70.6,96.39,37.62,190.7,133.03,3.11,38.57,83.64,1.24,9.04,7.74,19.12,24.79,14.4,1.39,5.92,503.12,4.21,126.49,7.42,1.69,3.44,8.73,1.12,350.02,278,39,300,3.2,815.36,587.41,77.54,32.42,22.8,11.18,11.55,27.51,44.95,830.96
77,"59282","2020","оптимистичный",78.08,5.62,385,659664.32,355985.53,86275.92,32933.53,27547.95,58567.71,31103.48,31223.32,36026.88,52711.43,16007.92,34198.85,0,1074.22,49.28,770.95,553.78,56.43,0.01,0,0,0,0,0,0.01,0,0,29.09,6.45,0.01,7.89,0,6.3,0.12,0.03,8.29,90.17,45.05,1.03,13.78,0.07,3.73,0.14,0.1,26.27,179.7,5.93,18.79,19.41,21.19,66.6,30.54,1.39,15.85,591.23,5.55,71.61,99.04,37.44,198.4,137.61,2.93,38.65,88.3,1.27,9.62,7.98,20.3,26.14,15.37,1.48,6.14,570.99,4.54,165.12,7.76,1.68,3.39,8.77,1.14,378.59,278,39,300,3.2,852.76,617.21,80.69,33.26,23.52,11.42,11.77,28.35,46.54,893.61
78,"59283","2021","оптимистичный",78.08,5.62,385,686627.06,373786.53,89727.81,33765.55,28403.35,59822.46,31697.17,32152.74,37271.45,53581.03,15950.06,35174.55,0,1064.25,49.15,749.05,537.69,56.28,0.01,0,0,0,0,0,0.01,0,0,30.76,6.78,0.01,8.43,0,6.71,0.11,0.03,8.69,96.84,48.86,1.03,14.76,0.06,3.76,0.14,0.09,28.14,185.91,6.05,19.76,19.93,22.26,69.87,30.77,1.29,15.98,607.63,5.73,72.63,101.77,37.26,206.41,142.35,2.76,38.72,93.27,1.31,10.23,8.23,21.56,27.58,16.4,1.58,6.38,652.99,4.89,215.54,8.11,1.67,3.33,8.8,1.16,409.49,278,39,300,3.2,891.35,648.07,83.92,34.1,24.25,11.67,12,29.19,48.15,974.47
79,"59284","2022","оптимистичный",78.08,4.62,385,714307.82,392221.42,93256.87,34595.99,29266.2,61064.19,32281.1,33088.2,38533.85,55542.81,16346.47,36779.18,0,1006.6,51.04,767.91,533.16,58.45,0.01,0,0,0,0,0,0.01,0,0,32.51,7.12,0.01,9,0,7.14,0.11,0.03,9.1,104.04,52.98,1.03,15.8,0.05,3.8,0.13,0.09,30.16,192.41,6.17,20.77,20.47,23.39,73.31,30.99,1.2,16.11,624.65,5.92,73.67,104.58,37.08,214.74,147.26,2.6,38.8,98.51,1.35,10.88,8.49,22.89,29.09,17.5,1.69,6.62,753,5.28,281.36,8.48,1.66,3.28,8.84,1.18,442.92,278,39,300,3.2,931.14,680.04,87.22,34.94,24.99,11.91,12.22,30.04,49.78,1050.94
80,"59285","2023","оптимистичный",78.08,4.62,385,742726.84,411309.17,96864.37,35424.78,30136.47,62292.88,32855.31,34029.67,39814.19,69646.71,18439.27,48445.54,0,1130.09,67.02,907.29,580.76,76.74,0.01,0,0,0,0,0,0.01,0,0,34.37,7.48,0.01,9.62,0,7.61,0.1,0.03,9.52,111.82,57.46,1.03,16.92,0.05,3.83,0.13,0.09,32.31,199.21,6.29,21.84,21.02,24.57,76.91,31.22,1.12,16.24,642.27,6.12,74.72,107.46,36.91,223.41,152.33,2.45,38.87,104.05,1.39,11.57,8.75,24.31,30.68,18.67,1.8,6.88,875.84,5.69,367.28,8.86,1.65,3.22,8.87,1.2,479.07,278,39,300,3.2,972.16,713.13,90.6,35.78,25.73,12.15,12.44,30.9,51.43,1133.42
81,"59286","2024","оптимистичный",78.08,4.62,385,771904.91,431069.26,100551.58,36251.85,31014.17,63508.49,33419.84,34977.12,41112.6,72261.56,18149.63,51387.55,0,1125.2,67.61,903.33,550.82,77.42,0.01,0,0,0,0,0,0.01,0,0,36.35,7.86,0.01,10.28,0,8.1,0.1,0.03,9.97,120.2,62.31,1.03,18.12,0.04,3.87,0.13,0.08,34.62,206.31,6.41,22.96,21.58,25.81,80.69,31.45,1.04,16.37,660.51,6.32,75.79,110.42,36.73,232.43,157.58,2.3,38.94,109.95,1.44,12.31,9.03,25.82,32.36,19.92,1.93,7.14,1027.96,6.14,479.44,9.26,1.64,3.17,8.91,1.22,518.18,278,39,300,3.2,1014.44,747.39,94.05,36.61,26.48,12.39,12.65,31.76,53.11,1222.37
82,"59287","2025","оптимистичный",78.08,4.62,385,801863.39,451521.75,104319.78,37077.13,31899.28,64711,33974.75,35930.49,42429.21,74203.34,18350.43,53026.58,0,1168.43,69.48,943.04,565.82,79.56,0,0,0,0,0,0,0,0,0,38.44,8.26,0.01,10.98,0,8.62,0.09,0.04,10.44,129.26,67.57,1.03,19.41,0.04,3.9,0.13,0.08,37.1,213.78,6.54,24.14,22.17,27.12,84.66,31.68,0.97,16.5,679.43,6.53,76.87,113.46,36.55,241.82,163.01,2.17,39.02,116.16,1.48,13.09,9.31,27.42,34.13,21.26,2.06,7.41,1217.57,6.62,625.85,9.68,1.63,3.12,8.95,1.25,560.47,278,39,300,3.2,1058.02,782.85,97.57,37.45,27.24,12.62,12.86,32.62,54.81,1318.3
83,"59289","2020","пессимистичный",51.92,7.54,410,639966.09,345355.45,83699.64,31950.1,26725.34,56818.82,30174.7,30290.96,34951.08,50451.61,15301.54,32755.94,0,1026.82,47.1,736.93,529.34,53.94,0.01,0,0,0,0,0,0.01,0,0,29.09,6.45,0.01,7.89,0,6.3,0.12,0.03,8.29,90.17,45.05,1.03,13.78,0.07,3.73,0.14,0.1,26.27,179.7,5.93,18.79,19.41,21.19,66.6,30.54,1.39,15.85,591.23,5.55,71.61,99.04,37.44,198.4,137.61,2.93,38.65,88.3,1.27,9.62,7.98,20.3,26.14,15.37,1.48,6.14,570.99,4.54,165.12,7.76,1.68,3.39,8.77,1.14,378.59,278,39,300,3.2,827.31,598.78,78.29,32.27,22.82,11.08,11.42,27.5,45.15,877.66
84,"59290","2021","пессимистичный",51.92,7.54,410,646706.76,352054.69,84511.06,31802.43,26751.99,56344.4,29854.3,30283.39,35104.5,51419,15274.97,33791.58,0,1019.21,47.07,717.34,514.93,53.9,0.01,0,0,0,0,0,0.01,0,0,30.76,6.78,0.01,8.43,0,6.71,0.11,0.03,8.69,96.84,48.86,1.03,14.76,0.06,3.76,0.14,0.09,28.14,185.91,6.05,19.76,19.93,22.26,69.87,30.77,1.29,15.98,607.63,5.73,72.63,101.77,37.26,206.41,142.35,2.76,38.72,93.27,1.31,10.23,8.23,21.56,27.58,16.4,1.58,6.38,652.99,4.89,215.54,8.11,1.67,3.33,8.8,1.16,409.49,278,39,300,3.2,839.53,610.39,79.04,32.12,22.84,10.99,11.3,27.5,45.35,936.85
85,"59291","2022","пессимистичный",51.92,6.54,410,653626.95,358901.98,85334.65,31657.04,26780.02,55876.75,29538.8,30277.34,35260.37,51909.45,15226.76,34431.1,0,937.65,47.55,715.31,496.64,54.44,0.01,0,0,0,0,0,0.01,0,0,32.51,7.12,0.01,9,0,7.14,0.11,0.03,9.1,104.04,52.98,1.03,15.8,0.05,3.8,0.13,0.09,30.16,192.41,6.17,20.77,20.47,23.39,73.31,30.99,1.2,16.11,624.65,5.92,73.67,104.58,37.08,214.74,147.26,2.6,38.8,98.51,1.35,10.88,8.49,22.89,29.09,17.5,1.69,6.62,753,5.28,281.36,8.48,1.66,3.28,8.84,1.18,442.92,278,39,300,3.2,852.04,622.27,79.81,31.97,22.87,10.9,11.18,27.49,45.55,988.79
86,"59292","2023","пессимистичный",51.92,6.54,410,660731.71,365901.69,86170.8,31513.98,26809.48,55415.9,29228.17,30272.89,35418.8,53560.43,14180.36,37256.08,0,869.07,51.54,697.74,446.62,59.02,0.01,0,0,0,0,0,0.01,0,0,34.37,7.48,0.01,9.62,0,7.61,0.1,0.03,9.52,111.82,57.46,1.03,16.92,0.05,3.83,0.13,0.09,32.31,199.21,6.29,21.84,21.02,24.57,76.91,31.22,1.12,16.24,642.27,6.12,74.72,107.46,36.91,223.41,152.33,2.45,38.87,104.05,1.39,11.57,8.75,24.31,30.68,18.67,1.8,6.88,875.84,5.69,367.28,8.86,1.65,3.22,8.87,1.2,479.07,278,39,300,3.2,864.83,634.4,80.6,31.83,22.89,10.81,11.06,27.49,45.75,1043.61
87,"59293","2024","пессимистичный",51.92,6.54,410,668026.22,373058.35,87019.9,31373.28,26840.45,54961.87,28922.39,30270.09,35579.89,55714.13,13875.18,39756.2,0,860.2,51.69,690.58,421.09,59.19,0.01,0,0,0,0,0,0.01,0,0,36.35,7.86,0.01,10.28,0,8.1,0.1,0.03,9.97,120.2,62.31,1.03,18.12,0.04,3.87,0.13,0.08,34.62,206.31,6.41,22.96,21.58,25.81,80.69,31.45,1.04,16.37,660.51,6.32,75.79,110.42,36.73,232.43,157.58,2.3,38.94,109.95,1.44,12.31,9.03,25.82,32.36,19.92,1.93,7.14,1027.96,6.14,479.44,9.26,1.64,3.17,8.91,1.22,518.18,278,39,300,3.2,877.92,646.81,81.39,31.69,22.92,10.72,10.95,27.48,45.96,1101.46
88,"59294","2025","пессимистичный",51.92,6.54,410,675515.84,380376.64,87882.38,31234.98,26872.99,54514.65,28621.43,30269.02,35743.75,56199.56,13774.78,40303.21,0,877.08,52.15,707.89,424.73,59.72,0,0,0,0,0,0,0,0,0,38.44,8.26,0.01,10.98,0,8.62,0.09,0.04,10.44,129.26,67.57,1.03,19.41,0.04,3.9,0.13,0.08,37.1,213.78,6.54,24.14,22.17,27.12,84.66,31.68,0.97,16.5,679.43,6.53,76.87,113.46,36.55,241.82,163.01,2.17,39.02,116.16,1.48,13.09,9.31,27.42,34.13,21.26,2.06,7.41,1217.57,6.62,625.85,9.68,1.63,3.12,8.95,1.25,560.47,278,39,300,3.2,891.31,659.5,82.2,31.55,22.95,10.63,10.83,27.48,46.17,1162.53
89,"59408","2019","пессимистичный",63.5,6,383.5,633400,338800,82900,32100,26700,57300,30500,30300,34800,48998.33,13500,33008.65,0,1108.64,46.38,739,542.55,53.11,0.01,0,0,0,0,0,0.01,0,0,27.53,6.14,0.01,7.38,0,5.92,0.13,0.03,7.92,83.95,41.54,1.02,12.87,0.08,3.69,0.14,0.1,24.51,173.76,5.81,17.87,18.9,20.17,63.47,30.32,1.49,15.73,575.39,5.37,70.6,96.39,37.62,190.7,133.03,3.11,38.57,83.64,1.24,9.04,7.74,19.12,24.79,14.4,1.39,5.92,503.12,4.21,126.49,7.42,1.69,3.44,8.73,1.12,350.02,278,39,300,3.2,815.36,587.41,77.54,32.42,22.8,11.18,11.55,27.51,44.95,830.96
